题目,答案
根据《烟花爆竹安全管理条例》的规定，在禁止燃放烟花爆竹的时间、地点燃放烟花爆竹，或者以危害公共安全和人身、财产安全的方式燃放烟花爆竹的，由公安部门责令停止燃放，处（ ）的罚款；构成违反治安管理行为的，依法给予治安管理处罚。,['100元以上500元以下']
《道路交通安全法》中规定，任何单位和个人都无权对公安机关交通管理部门及其交通警察不严格执法以及违法违纪行为进行检举、控告。,['错']
电器产品、燃气用具的安装、使用及其线路、管路的（ ），必须符合消防技术标准和管理规定。,"['设计', '敷设', '维护保养', '检测']"
张某作为生产经营单位的主要负责人，未履行《安全生产法》规定的安全生产管理职责，导致本单位发生重大生产安全事故。根据《安全生产法》的规定，应急管理部门应当对其处以上一年年收入百分之八十的罚款。,['对']
根据《危险化学品企业特殊作业安全规范》（GB 30871）的规定，当一处受限空间存在动火作业时，该处受限空间内（ ）安排涂刷油漆、涂料等其他可能产生有毒有害、可燃物质的作业活动。,['不应']
在有可燃气体、蒸气、粉尘、纤维爆炸危险性的环境内，可能产生静电的设备和管道均应具有防止发生静电或静电积累的性能。,['对']
根据《工贸企业有限空间作业安全管理与监督暂行规定》，工贸企业应当对本企业的有限空间进行辨识，确定有限空间的数量、位置以及危险有害因素等基本情况，建立有限空间管理台账，并及时更新。,['对']
根据《道路交通安全法》的规定，交通信号灯中绿灯表示（ ）。,['准许通行']
危险化学品重大危险源辨识的依据是物质的（ ）。,"['危险特性', '数量']"
负责危险化学品的公共安全管理的部门是（ ）。,['公安机关']
生产、储存危险化学品的企业，应当委托具备国家规定的资质条件的机构，对本企业的安全生产条件每5年进行一次安全评价，提出安全评价报告。,['错']
生产经营单位新建、改建、扩建工程项目的安全设施，必须与主体工程（ ），即安全设施“三同时”制度。,"['同时设计', '同时施工', '同时投入生产和使用']"
根据《工伤保险条例》的规定，职工发生工伤时，用人单位应当采取措施使工伤职工得到及时救治。,['对']
根据《危险化学品安全管理条例》的规定，下列选项中属于从事危险化学品经营的企业应当具备的条件的有（ ）。,"['有符合国家标准、行业标准的经营场所', '从业人员经过专业技术培训并经考核合格', '有健全的安全管理规章制度', '有专职安全管理人员']"
根据《工贸企业有限空间作业安全管理与监督暂行规定》，工贸企业是本企业有限空间作业安全的责任主体，其（ ）对本企业有限空间作业安全全面负责，相关负责人在各自职责范围内对本企业有限空间作业安全负责。,['主要负责人']
根据《烟花爆竹安全管理条例》的规定，下列选项中属于禁止燃放烟花爆竹的场所有（ ）。,"['文物保护单位', '医疗机构、幼儿园、中小学校、敬老院', '山林、草原等重点防火区', '车站、码头、飞机场等交通枢纽以及铁路线路安全保护区内']"
单位或者个人违反《突发事件应对法》的规定，导致突发事件发生或者危害扩大，给他人人身、财产造成损害的，（ ）。,['应当依法承担民事责任']
根据《刑法》的规定，破坏火车、汽车、电车、船只、航空器，足以使火车、汽车、电车、船只、航空器发生倾覆、毁坏危险，尚未造成严重后果的，处三年以上十年以下有期徒刑。,['对']
下列选项中可能发生粉尘爆炸的有（ ）。,"['铝粉', '煤粉', '木粉', '面粉']"
根据《危险化学品企业特殊作业安全规范》（GB 30871）的规定，进入高温的受限空间作业的作业人员，应穿戴高温防护用品，必要时采取通风、隔热等防护措施。,['对']
对被责令停产整顿的煤矿，在停产整顿期间，由（ ）采取有效措施进行监督检查。,['有关地方人民政府']
《危险化学品企业特殊作业安全规范》（GB 30871）中规定，二级动火安全作业票有效期不应超过（ ）。,['72h']
2023年6月是第（ ）个全国“安全生产月”。,['22']
加油站遇雷暴、龙卷风和台风等恶劣天气时应停止加油、卸油、取样和人工计量等作业。,['对']
因（ ）受到损害的从业人员，除依法享有工伤保险外，依照有关民事法律尚有获得赔偿的权利的，有权提出赔偿要求。,['生产安全事故']
《道路交通安全法》中规定，国家实行机动车第三者责任强制保险制度，设立道路交通事故社会救助基金。具体办法由国务院规定。,['对']
事故发生后，有关单位和人员应当妥善保护事故现场以及相关证据，任何单位和个人不得破坏事故现场、毁灭相关证据。,['对']
火灾初起阶段是扑救火灾（ ）的阶段。,['最有利']
油罐内发生火灾时，不能选用的灭火剂是（ ）。,['直流水']
工贸企业应当根据有限空间存在危险有害因素的种类和危害程度，为作业人员提供符合国家标准或者行业标准规定的劳动防护用品，并教育监督作业人员正确佩戴与使用。,['对']
根据《城镇燃气管理条例》的规定，燃气安全事故经调查确定为责任事故的，应当查明原因、明确责任，并依法予以追究。,['对']
《道路交通安全法》中规定，驾驶人驾驶机动车上道路行驶前，应当对机动车的安全技术性能进行认真检查。,['对']
《城镇燃气管理条例》中规定，燃气用户有权就燃气收费、服务等事项向燃气经营者进行查询，燃气经营者应当自收到查询申请之日起（ ）个工作日内予以答复。,['5']
物流仓库应经常对仓库堆放物进行整理，按其物品不燃、可燃、易燃性质分开堆放，不得随意混合堆放。,['对']
《安全生产事故隐患排查治理暂行规定》中规定，事故隐患分为一般事故隐患和重大事故隐患。,['对']
根据《工伤保险条例》的规定，工伤认定申请表应当包括事故发生的（ ）等基本情况。,"['时间', '地点', '原因', '职工伤害程度']"
根据《生产安全事故应急条例》的规定，规模较大、危险性较高的易燃易爆物品、危险化学品等危险物品的生产、经营、储存、运输单位应当成立应急处置技术组，实行（ ）小时应急值班。,['24']
根据《生产安全事故报告和调查处理条例》的规定，下列生产安全事故等级的判定中，正确的有（ ）。,"['某化工厂发生爆炸事故，造成33人死亡，属于特别重大事故', '某煤矿发生透水事故，造成13人死亡，属于重大事故']"
《道路交通安全法》中规定，残疾人机动轮椅车、电动自行车在非机动车道内行驶时，最高时速不得超过（ ）。,['15公里']
根据《行政处罚法》的规定，下列情形中，不予处罚的有（ ）。,"['违法行为轻微并及时改正，没有造成危害后果', '当事人有证据足以证明没有主观过错']"
根据《消防法》的规定，专职消防队的建立应当符合国家有关规定，并报当地（ ）验收。,['消防救援机构']
根据《工伤保险条例》的规定，社会保险行政部门受理工伤认定申请后，根据审核需要可以对事故伤害进行调查核实，（ ）以及有关部门应当予以协助。,"['用人单位', '职工', '工会组织', '医疗机构']"
生产、储存危险化学品的企业，应当委托具备国家规定的资质条件的机构，对本企业的安全生产条件每（ ）年进行一次安全评价，提出安全评价报告。,['3']
搬运剧毒化学品后，应该立即（ ）。,['用流动的水洗手']
军事装备、核设施、航空航天器、铁路机车、海上设施和船舶以及矿山井下使用的特种设备、民用机场专用设备的安全监察适用《特种设备安全监察条例》。,['错']
根据《工贸企业有限空间作业安全管理与监督暂行规定》，下列选项中属于工贸企业有限空间作业应当符合的要求的是（ ）。,"['保持有限空间出入口畅通', '设置明显的安全警示标志和警示说明', '作业人员与外部有可靠的通讯联络', '存在交叉作业时，采取避免互相伤害的措施']"
车辆驶入非自助加油站时，加油员宜主动引导车辆进入加油位置。,['对']
《职业病分类和目录》将职业病分为（ ）类。,['10']
我国的安全宣传咨询日是每年的（ ）。,['6月16日']
举办大型群众性活动，承办人应当依法向公安机关申请安全许可，制定灭火和应急疏散预案并组织演练，明确消防安全责任分工，确定消防安全管理人员，保持消防设施和消防器材配置齐全、完好有效，保证疏散通道、安全出口、疏散指示标志、应急照明和消防车通道符合消防技术标准和管理规定。,['对']
燃气燃烧器具生产单位、销售单位应当设立或者委托设立售后服务站点，配备经考核合格的燃气燃烧器具安装、维修人员，负责售后的安装、维修服务。,['对']
在野外遇到泥石流，正确的做法是（ ）。,['朝着与泥石流垂直的方向往高处跑']
生产经营单位应当在编制应急预案的基础上，针对工作场所、岗位的特点，编制简明、实用、有效的应急处置卡。,['对']
《工贸企业粉尘防爆安全规定》中规定，含水镁合金废屑应当优先采用机械压块处理方式，镁合金粉尘应当优先采用大量水浸泡方式暂存。,['对']
粉尘涉爆企业应当做好粉尘爆炸危险场所设施设备的维护保养，加强对检修承包单位的安全管理，在承包协议中明确规定双方的安全生产权利义务，对检修承包单位的检修方案中涉及粉尘防爆的安全措施和应急处置措施进行审核，并监督承包单位落实。,['对']
《高层民用建筑消防安全管理规定》中规定，高层住宅建筑的物业服务企业应当每年至少对居住人员进行（ ）消防安全教育培训，进行（ ）疏散演练。,['一次、一次']
粉尘涉爆企业对粉尘爆炸危险场所设备设施或者除尘系统的检修维修作业，应当实行专项作业审批。,['对']
《城镇燃气管理条例》中规定，燃气用户应当遵守安全用气规则，使用（ ）的燃气燃烧器具和气瓶，及时更换国家明令淘汰或者使用年限已届满的燃气燃烧器具、连接管等，并按照约定期限支付燃气费用。,['合格']
根据《消防法》的规定，机关、团体、企业、事业等单位应当履行下列消防安全职责（ ）。,"['落实消防安全责任制，制定本单位的消防安全制度、消防安全操作规程，制定灭火和应急疏散预案', '按照国家标准、行业标准配置消防设施、器材，设置消防安全标志，并定期组织检验、维修，确保完好有效', '对建筑消防设施每年至少进行一次全面检测，确保完好有效，检测记录应当完整准确，存档备查']"
根据《高层民用建筑消防安全管理规定》的规定，高层公共建筑内应当确定禁火禁烟区域，并设置明显标志。,['对']
根据《高层民用建筑消防安全管理规定》的规定，禁止违反燃气安全使用规定，擅自安装、改装、拆除燃气设备和用具。,['对']
雷雨天不宜洗澡，若遇停电跳闸，不要触碰配电箱。这一说法是否正确？,['对']
山区居民在建房选址时，把房屋建在河流的沟口地带更为便利。这一说法是否正确？,['错']
在以下哪些时候，地方各级人民政府应当组织开展有针对性的消防宣传教育，采取防火措施，进行消防安全检查（ ）。,"['农业收获季节', '森林和草原防火期间', '重大节假日期间', '火灾多发季节']"
现场处置方案，是指生产经营单位为应对某一种或者多种类型生产安全事故，或者针对重要生产设施、重大危险源、重大活动防止生产安全事故而制定的专项性工作方案。,['错']
根据《消防法》的规定，同一建筑物由两个以上单位管理或者使用的，应当明确各方的消防安全责任，并确定责任人对共用的（ ）进行统一管理。,"['疏散通道', '安全出口', '建筑消防设施', '消防车通道']"
台风来临时，下列哪种行为是不正确的（ ）。,['海滩游泳']
汛期暴雨局地性、突发性强，雨量大、危害严重，极易导致城市内涝等次生灾害，为公众出行带来安全隐患。暴雨天行人在外步行时，以下哪种做法是不正确的（ ）。,['在紧靠供电线路的大型广告牌下避雨']
如居住地发生滑坡，滑坡停止后，应及时返回住所查看情况，减少损失。这一说法是否正确？,['错']
涉及人员死亡的举报事项，应当由县级以上人民政府组织核查处理。,['对']
雨天行车，安全第一，以下关于雨天开车说法正确的是（ ）。,"['当雨天遇到路面或立交桥下积水超过警戒线时，一定要绕行', '停车地点有雨箅子，不能占压', '汛期开车，车里常备安全锤']"
《高层民用建筑消防安全管理规定》中规定，建筑高度超过（ ）米的高层民用建筑外墙上设置的装饰、广告牌应当采用不燃材料并易于破拆。,['50']
《城镇燃气管理条例》中规定，燃气发展规划的内容应当包括：燃气气源、（ ）、燃气设施保护范围、燃气供应保障措施和安全保障措施等。,"['燃气种类', '燃气供应方式和规模', '燃气设施布局和建设时序', '燃气设施建设用地']"
我国“119消防宣传日”是（ ）。,['11月9日']
遇山体滑坡，跑离时，应（ ）。,['向两侧跑']
根据《高层民用建筑消防安全管理规定》的规定，灭火和应急疏散预案应当明确应急组织机构，确定承担通信联络、灭火、疏散和救护任务的人员及其职责，明确报警、联络、灭火、疏散等处置程序和措施。,['对']
应急预案的编制应当遵循以人为本、依法依规、符合实际、注重实效的原则，以（ ）为核心，明确应急职责、规范应急程序、细化保障措施。,['应急处置']
《工贸企业有限空间作业安全规定》中规定，有限空间，是指封闭或者部分封闭，未被设计为固定工作场所，人员可以进入作业，易造成有毒有害、易燃易爆物质积聚或者氧含量不足的空间。,['对']
粉尘涉爆企业不得拒绝、阻挠负责粉尘涉爆企业安全监管的部门委托的安全生产技术服务机构开展技术服务工作。,['对']
水能扑救下列哪种火灾（ ）。,['木材、纸张']
电器设备在发生火灾时不应该用（ ）灭火。,['水、泡沫灭火器']
生产安全事故应急处置和应急救援结束后，事故发生单位应当对应急预案实施情况进行总结评估。,['对']
有限空间作业应当严格遵守（ ）要求。,['先通风、再检测、后作业']
根据《城镇燃气管理条例》的规定，燃气经营者不得在不具备安全条件的场所储存燃气。,['对']
根据《高层民用建筑消防安全管理规定》的规定，禁止在消防车通道、消防车登高操作场地设置构筑物、停车泊位、固定隔离桩等障碍物。,['对']
乘坐交通工具，以下哪种物品不可以带（ ）。,['易燃易爆物品']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当定期辨识粉尘云、点燃源等粉尘爆炸危险因素，确定粉尘爆炸危险场所的位置、范围，并根据粉尘爆炸特性和涉粉作业人数等关键要素，评估确定有关危险场所安全风险等级，制定并落实管控措施，明确责任部门和责任人员，建立安全风险清单，及时维护安全风险辨识、评估、管控过程的信息档案。,['对']
工贸企业应当在有限空间出入口等醒目位置设置明显的安全警示标志，并在具备条件的场所设置安全风险告知牌。,['对']
负责粉尘涉爆企业安全监管的部门对企业实施监督检查时，应当重点检查下列内容（ ）。,"['粉尘防爆安全生产责任制和相关安全管理制度的建立、落实情况', '粉尘爆炸风险清单和辨识管控信息档案', '粉尘爆炸事故隐患排查治理台账', '粉尘防爆专项安全生产教育和培训记录']"
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑应当进行每日防火巡查，并填写巡查记录。,['对']
《安全生产法》中规定，生产经营单位与从业人员订立协议，免除或者减轻其对从业人员因生产安全事故伤亡依法应承担的责任的，该协议（ ）。,['无效']
下列哪种情况不会产生电火花（ ）。,['使用防爆手电筒']
我国常用应急电话中12395是（ ）。,['水上遇险求救电话']
违反《城镇燃气管理条例》规定，未取得燃气经营许可证从事燃气经营活动的，由燃气管理部门责令停止违法行为，处（ ）罚款。,['5万元以上50万元以下']
生产经营单位从业人员安全生产教育和培训的内容包括（ ）。,"['安全生产规章制度和安全操作规程', '本岗位的安全操作技能', '事故应急处理措施', '安全生产方面的权利和义务']"
生产经营单位风险种类多、可能发生多种类型事故的，应当组织编制（ ）。,['综合应急预案']
消防产品必须符合国家标准；没有国家标准的，必须符合行业标准。禁止生产、销售或者使用不合格的消防产品以及国家明令淘汰的消防产品。,['对']
《高层民用建筑消防安全管理规定》中规定，高层民用建筑消防控制室应当由其管理单位实行（ ）值班制度，每班不应少于（ ）值班人员。,['24小时、2名']
依据《安全生产法》的规定，对新兴行业、领域的安全生产监督管理职责不明确的，由县级以上地方各级人民政府按照（ ）的原则确定监督管理部门。,['业务相近']
《高层民用建筑消防安全管理规定》中规定，禁止使用（ ）材料作为高层民用建筑外墙外保温材料。,"['易燃', '可燃']"
某粉尘涉爆企业未制定有关粉尘爆炸事故应急救援预案，由负责粉尘涉爆企业安全监管的部门依照《中华人民共和国安全生产法》有关规定，责令限期改正，处（ ）的罚款。,['10万元以下']
依据《安全生产法》的规定，下列哪些属于从业人员的义务（ ）。,"['自律遵规', '学习安全知识，提高安全技能', '发现事故隐患立即向现场安全生产管理人员报告']"
有异物刺入头部或胸部时，下列急救方法不正确的是（ ）。,['马上拔出，进行止血']
发生交通事故，有人被压在车轮或货物下时，错误的救援方法是（ ）。,['暴力拉拽伤者的肢体']
《高层民用建筑消防安全管理规定》中规定，建筑高度超过（ ）米的高层民用建筑应当实行更加严格的消防安全管理。,['100']
从业人员长期接触木材加工车间的粉尘可能引发的职业病是（ ）。,['尘肺']
2024年“安全生产月”主题是（ ）。,['人人讲安全、个个会应急——畅通生命通道']
发现火灾隐患或消防安全违法行为，可以拨打火灾隐患举报电话（ ）。,['96119']
短时的骤降暴雨极易引起道路积水、城市内涝和洪水暴发，给人们驾驶出行造成安全隐患。洪水灾害时期，如果驾驶车辆外出途中遇到漫水路段，以下做法中错误的是（ ）。,['车辆若在水中熄火，应立即再次打火']
《高层民用建筑消防安全管理规定》中规定，高层民用建筑内燃气用具的（ ）应当符合消防技术标准及管理规定。,"['安装使用', '管路敷设', '维护保养', '检测']"
事故风险辨识、评估，是指针对不同事故种类及特点，识别存在的危险危害因素，分析事故可能产生的直接后果以及次生、衍生后果，评估各种后果的危害程度和影响范围，提出防范和控制事故风险措施的过程。,['对']
根据《高层民用建筑消防安全管理规定》的规定，同一高层民用建筑有两个及以上业主、使用人的，各业主、使用人对其专有部分的消防安全负责，对共有部分的消防安全共同负责。,['对']
有下列（ ）情形，应急预案应当及时修订并归档。,"['依据的法律、法规、规章、标准及上位预案中的有关规定发生重大变化的', '应急指挥机构及其职责发生调整的', '安全生产面临的风险发生重大变化的', '重要应急资源发生重大变化的']"
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当制定有关粉尘爆炸事故应急救援预案，并依法定期组织演练。,['对']
根据《高层民用建筑消防安全管理规定》的规定，禁止在高层民用建筑公共门厅、疏散走道、楼梯间、安全出口停放电动自行车或者为电动自行车充电。,['对']
工贸企业未按照规定设置明显的有限空间安全警示标志的，责令限期改正，处（ ）的罚款。,['5万元以下']
违反《城镇燃气管理条例》规定，毁损、覆盖、涂改、擅自拆除或者移动燃气设施安全警示标志的，由燃气管理部门责令限期改正，恢复原状，可以处（ ）元以下罚款。,['5000']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当如实记录粉尘防爆专项安全生产教育和培训的时间、内容及考核等情况，纳入员工教育和培训档案。,['对']
《城镇燃气管理条例》中规定，燃气设施建设工程竣工后，建设单位应当依法组织竣工验收，并自竣工验收合格之日起（ ）日内，将竣工验收情况报燃气管理部门备案。,['15']
《高层民用建筑消防安全管理规定》中规定，高层公共建筑内餐饮场所的经营单位应当及时对厨房灶具和排油烟罩设施进行清洗，排油烟管道（ ）至少进行一次检查、清洗。,['每季度']
事故隐患排查、治理和防控的责任主体是职工个人。,['错']
下列哪种灭火器适用于扑救实验室精密仪器火灾（ ）。,['二氧化碳灭火器']
台风来临前，防范措施包括（ ）。,"['住在低洼地区和危房中的人员要及时转移到安全住所', '关好门窗，检查门窗是否坚固；取下悬挂的东西；检查电路、炉火煤气等设施是否安全', '千万不要在河、湖、海的路堤或桥上行走，不要在强风影响区域开车', '台风带来的暴雨容易引发洪水、山体滑坡、泥石流等灾害，发现危险征兆应及时转移']"
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑的业主、使用人或者消防服务单位、统一管理人应当每年至少组织开展一次整栋建筑的消防安全评估。,['对']
火灾发生时，发现火灾的人员应当立即拨打（ ）电话报警。,['119']
《城镇燃气管理条例》中规定，管道燃气经营者因施工、检修等原因需要临时调整供气量或者暂停供气的，应当将作业时间和影响区域提前（ ）小时予以公告或者书面通知燃气用户，并按照有关规定及时恢复正常供气。,['48']
消防车道的净宽度不应小于（ ）米。,['4']
生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志。,['对']
专项应急预案应当规定应急指挥机构与职责、处置程序和措施等内容。,['对']
生产、储存、经营易燃易爆危险品的场所不得与居住场所设置在同一建筑物内，并应当与居住场所保持安全距离。,['对']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当在本单位安全生产责任制中明确（ ）粉尘防爆安全职责。,"['主要负责人', '相关部门负责人', '生产车间负责人', '粉尘作业岗位人员']"
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑消防安全管理贯彻预防为主、防消结合的方针，实行消防安全责任制。,['对']
地震发生后，下列行为中错误的是（ ）。,['回到危房里带走贵重物品']
根据《烟花爆竹安全管理条例》，生产烟花爆竹使用的原料，应当符合（ ）的规定。,['国家标准']
燃气用户及相关单位和个人不得擅自操作公用燃气阀门。,['对']
专项应急预案，是指生产经营单位根据不同生产安全事故类型，针对具体场所、装置或者设施所制定的应急处置措施。,['错']
下列属于易于自燃的物质是（ ）。,['黄磷']
《城镇燃气管理条例》中规定，国家鼓励、支持燃气科学技术研究，推广使用（ ）的燃气新技术、新工艺和新产品。,"['安全', '节能', '高效', '环保']"
《高层民用建筑消防安全管理规定》中规定，高层公共建筑内的单位应当（ ）至少对员工开展一次消防安全教育培训。,['每半年']
下列高层火灾逃生方法错误的是（ ）。,['不迅速逃生，顾及贵重物品']
《高层民用建筑消防安全管理规定》中规定，高层公共建筑内的人员密集场所应当按照楼层、区域确定（ ），负责在火灾发生时组织、引导在场人员安全疏散。,['疏散引导员']
下山火蔓延速度慢，火势弱，容易扑打，应尽可能将下山火消灭在下山阶段。,['对']
电熨斗是常用的家用电器，下列做法中错误的是（ ）。,['熨烫衣物时，临时有事离开一会儿，不用拔掉电熨斗的电源插头']
下列关于生产经营单位的从业人员安全生产权利，说法正确的是（ ）。,"['从业人员有权了解其作业场所和工作岗位存在的危险因素、防范措施及事故应急措施，有权对本单位的安全生产工作提出建议', '从业人员有权拒绝违章指挥和强令冒险作业']"
燃气用户及相关单位和个人不得擅自安装、改装、拆除户内燃气设施和燃气计量装置。,['对']
作业过程中，工贸企业应当安排专人对作业区域持续进行通风和气体浓度检测。作业中断的，作业人员再次进入有限空间作业前，应当重新通风、气体检测合格后方可进入。,['对']
矿山建设项目的施工单位应当加强对施工项目的安全管理，可以将其承包的全部建设工程转包给第三人或者将其承包的全部建设工程支解以后以分包的名义分别转包给第三人。,['错']
《高层民用建筑消防安全管理规定》中规定，高层公共建筑的业主、使用人应当按照国家标准、行业标准配备（ ）等逃生疏散设施器材。,"['灭火器材', '自救呼吸器', '逃生缓降器', '逃生绳']"
室内消火栓的作用是（ ）。,['扑救建筑内部火灾']
谎报火警是违法行为，最高可以处（ ）日拘留。,['10']
发生地震时千万别惊慌，实施及时有效的避震方法，可以降低伤害。关于室内避震，以下避险方法错误的是（ ）。,['靠近煤气灶、煤气管道和家用电器等']
根据《安全生产法》的规定，（ ）单位应当有注册安全工程师从事安全生产管理工作。,"['危险物品的生产、储存、装卸', '矿山', '金属冶炼']"
以下哪些行为容易在家中造成火灾（ ）。,"['不熄灭烟头', '使用炉灶期间外出', '电器设备老化不进行检查维修']"
《城镇燃气管理条例》中规定，新建、扩建、改建建设工程，不得影响燃气设施安全。,['对']
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑的疏散通道、安全出口应当保持畅通，禁止堆放物品、锁闭出口、设置障碍物。,['对']
我国常用应急电话中122是（ ）。,['交通事故报警电话']
人员被困厢式电梯时，以下做法正确的是（ ）。,"['利用内置警铃、对讲系统呼叫救援', '保持冷静、保存体力切忌惊慌失措']"
根据《高层民用建筑消防安全管理规定》的规定，禁止在高层民用建筑内违反国家规定生产、储存、经营甲、乙类火灾危险性物品。,['对']
地震灾害具有突发性及不可预测性，可能会引发严重的次生灾害，将对社会造成很大的生命财产损失。你知道地震灾害的伤亡主要是由什么造成的吗？（ ）,['建筑物倒塌']
燃气用户及相关单位和个人可以将燃气管道作为负重支架或者接地引线。,['错']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当为粉尘作业岗位从业人员提供符合国家标准或者行业标准的劳动防护用品，并监督、教育从业人员按照使用规则佩戴、使用。,['对']
河道洪水一般水流湍急、来势凶猛，以下做法正确的是（ ）。,"['水库放水时下游河道游鱼增多，不可下河捞鱼', '气象预报未来有雨，需远离深谷大河', '遇突发性河道洪水，寻找高地紧急避险', '遇洪水被困尽早报警求救']"
单位负责人接到事故报告后，应当（ ）。,"['迅速采取有效措施，组织抢救', '立即如实报告当地负有安全生产监督管理职责的部门']"
根据生产安全事故造成的（ ）划分事故的等级。,"['直接经济损失', '人员伤亡']"
《城镇燃气管理条例》中规定，燃气燃烧器具的安装、维修，应当符合国家有关标准。,['对']
单位或家庭装修中使用溶剂和油漆时，除了杜绝一切火种，还应该注意（ ）。,['通风']
《工贸企业粉尘防爆安全规定》中规定，发生火灾或者粉尘爆炸事故后，粉尘涉爆企业应当立即启动应急响应并撤离疏散全部作业人员至安全场所，不得采用可能引起扬尘的应急处置措施。,['对']
以下防坠落类护具有哪些（ ）。,"['安全网', '安全带']"
雨季在溪谷中进行徒步露营活动，可选择在平缓的河床地形处扎营，更为便利。这一说法是否正确？,['错']
对于某一种或者多种类型的事故风险，生产经营单位可以编制相应的专项应急预案，或将专项应急预案并入综合应急预案。,['对']
违反《城镇燃气管理条例》规定，燃气经营者不按照燃气经营许可证的规定从事燃气经营活动的，由燃气管理部门责令限期改正，处（ ）罚款。,['3万元以上20万元以下']
《安全生产法》中规定，对新兴行业、领域的安全生产监督管理职责不明确的，由县级以上地方各级人民政府按照业务相近的原则确定监督管理部门。,['对']
《道路交通安全法》中规定，警车、消防车、救护车、工程救险车执行紧急任务时，可以使用警报器、标志灯具；在确保安全的前提下，不受（ ）的限制，其他车辆和行人应当让行。,"['行驶路线', '行驶方向', '行驶速度', '信号灯']"
《高层民用建筑消防安全管理规定》中规定，高层住宅建筑应当（ ）至少开展一次防火检查，高层公共建筑应当每（ ）至少开展一次防火检查，并填写检查记录。,['每月，半个月']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当在粉尘爆炸较大危险因素的工艺、场所、设施设备和岗位，设置安全警示标志。,['对']
面对火灾，以下选择错误的是（ ）。,['不迅速报警']
（ ）和危险物品的生产、经营、储存、装卸单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。,"['矿山', '金属冶炼', '建筑施工', '运输单位']"
生产经营单位应当关注从业人员的身体、心理状况和行为习惯，加强对从业人员的心理疏导、精神慰藉，严格落实岗位安全生产责任，防范从业人员行为异常导致事故发生。,['对']
依据《城镇燃气管理条例》的规定，在燃气设施保护范围内，禁止从事下列哪些危及燃气设施安全的活动（ ）。,"['建设占压地下燃气管线的建筑物、构筑物或者其他设施', '进行爆破、取土等作业或者动用明火', '倾倒、排放腐蚀性物质', '放置易燃易爆危险物品或者种植深根植物']"
根据《城镇燃气管理条例》的规定，燃气经营者应当按照国家有关工程建设标准和安全生产管理的规定，设置燃气设施（ ）、隔离等保护装置和安全警示标志，定期进行巡查、检测、维修和维护，确保燃气设施的安全运行。,"['防腐', '绝缘', '防雷', '降压']"
台风过后，应该如何处置被水浸泡过的食品（ ）。,['仔细检查是否受潮变质']
对于危险性较大的场所、装置或者设施，生产经营单位应当编制现场处置方案。,['对']
依据《安全生产责任保险实施办法》规定，下列企业中，应当投保安全生产责任保险的是（ ）。,['煤矿企业']
地震发生时，为防止次生灾害的发生，城镇居民首先要采取什么措施（ ）。,['切断电源、切断燃气源']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业应当组织对涉及粉尘防爆的生产、设备、安全管理等有关负责人和粉尘作业岗位等相关从业人员进行粉尘防爆专项安全生产教育和培训，使其了解作业场所和工作岗位存在的爆炸风险，掌握粉尘爆炸事故防范和应急措施；未经教育培训合格的，不得上岗作业。,['对']
面对雷雨天气，下列做法中容易发生危险的是（ ）。,['使用太阳能热水器']
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑内应当在显著位置设置标识，指示避难层（间）的位置。,['对']
应急处置卡应当规定重点岗位、人员的应急处置程序和措施，以及相关联络人员和联系方式，便于从业人员携带。,['对']
根据《高层民用建筑消防安全管理规定》的规定，高层住宅建筑的公共排油烟管道应当定期检查，并采取防火措施。,['对']
根据《城镇燃气管理条例》的规定，燃气用户有权就燃气收费、服务等事项向县级以上地方人民政府价格主管部门、燃气管理部门以及其他有关部门进行投诉，有关部门应当自收到投诉之日起（ ）个工作日内予以处理。,['15']
某粉尘涉爆企业未按照规定对有关负责人和粉尘作业岗位相关从业人员进行粉尘防爆专项安全生产教育和培训，由负责粉尘涉爆企业安全监管的部门依照《中华人民共和国安全生产法》有关规定，责令限期改正，处（ ）的罚款。,['10万元以下']
现场处置方案应当规定应急工作职责、应急处置措施和注意事项等内容。,['对']
《高层民用建筑消防安全管理规定》中规定，高层公共建筑的业主单位、使用单位应当履行的消防安全职责有（ ）。,"['遵守消防法律法规，建立和落实消防安全管理制度', '明确消防安全管理机构或者消防安全管理人员', '组织开展防火巡查、检查，及时消除火灾隐患', '确保疏散通道、安全出口、消防车通道畅通']"
当气象台发出台风橙色预警信号时，居民可以随意外出，但小孩最好在大人的陪同下外出，这种说法正确吗？,['错']
